Project,url,itemID,Required skills,Community tools,Project Area,Summary,Description,For,closed,suggestedmode,recentlyVerified,Attendee Report 1,Attendee Report 2
Evince,https://bugzilla.gnome.org/show_bug.cgi?id=685591,1,"C, GTK",,,closed,,,yes,group,yes,,
FreeNAS,http://support.freenas.org/ticket/2042,2,"FreeNAS, sysadmin, virtualization","Trac, svn",,"Try this, and see if there is a problem with the configuration files, and see if you can fix one of them","This is a matter of testing first, rather than code first",Student interested in freenas,yes,group,yes,,
FreeNAS,http://support.freenas.org/ticket/2036,3,"FreeNAS, testing, virtualization","Trac,svn",,"The system seems to partially crash when you start the screensaver. Task: Start FreeNAS in a VM, and see if you can reproduce the problem.",,,,group,yes,,
FreeNAS,https://support.freenas.org/ticket/1912,4,"FreeNAS, testing, Windows, virtualization","Trac, svn",,"Start a FreeNAS virtual machine and try to use it, on Windows, with a screen reader. Then, if you can, fix the Python FreeNAS code so it works better for blind people","Testing first, and see if the WordPress plugin can apply.  Click through the reference at the bug report.",,,group,yes,,
GNOME Website,https://bugzilla.gnome.org/show_bug.cgi?id=643375,5,"Windows, CSS",,,"To fix font issues, make the javascript change suggested by a prior contributor and see if it solves the problem. ",See comment #16 for the proposed fix.,,yes,individual,yes,,
gnome-packagekit,https://bugzilla.gnome.org/show_bug.cgi?id=693667,6,"Internationalization, git",,,Confirm error and then fix a small typo in the translation files,,,,group,yes,,
jMonkey Engine,http://code.google.com/p/jmonkeyengine/issues/detail?id=577,7,Java,,,"In this 3D game engine's development tools, adjust the order in which you choose colors","Note from previous attendee: while building the project, go into sdk dir and issue ant build then ant run",,,group,yes,,
Krita (painting tool in KDE),https://bugs.kde.org/show_bug.cgi?id=300160,8,"Qt, KDE, C++",,,Sizeable task but super cool,Linux-only basically,,,group,yes,,
krita (painting tool in KDE),https://bugs.kde.org/show_bug.cgi?id=313593,9,"Qt, KDE, C++",Bad default,,yes,,,yes,group,yes,,
MediaWiki,https://bugzilla.wikimedia.org/show_bug.cgi?id=43868,10,"PHP, package management",,,"Right now, if you use the ""load a backup"" (AKA ""import an XML dump"") functionality when your system's PHP doesn't have XML functionality, the page crashes with no useful error. MediaWiki should detect this case and warn the user.",,,,group,yes,,
MediaWiki extension for syntax highlighting,https://bugzilla.wikimedia.org/show_bug.cgi?id=38932,11,"PHP, Javascript",,,"Find out how DocuWiki makes code blocks downloadable, and make that available for MediaWiki users","It's a feature, not a bug!",,,group,yes,,
NLTK,https://github.com/nltk/nltk/issues/352,12,Python 3,"Github, git",,Port (at least) one NLTK demo app to Python 3,,,yes,group,yes,,
NLTK,https://github.com/nltk/nltk/issues/310,13,"Python 3, Java, terminal","Github, git",,The Python code calls a Java app... wrong. Read the bug to find out how.,"The bug report is really terse, it may be a challenge to figure out what the problem is.",,,group,yes,,
NLTK,https://github.com/nltk/nltk/issues/48,14,"Python, doctests, reading code","Github, git",,"Test if the docs are still missing, and if so, say so","The bug report is really terse, it may be a challenge to figure out what the problem is.",,skip for now,group,yes,,
PsychoPy,https://github.com/psychopy/psychopy/issues/257,15,Text editing,"Github, git",science,Fix a link,,,yes,group,yes,,
PsychoPy,https://github.com/psychopy/psychopy/pull/163,16,"Python, performance, vectorizing, git","Github, git",science,Fix some code that someone else submitted so it (1) runs faster and (2) has a typo fixed,Requires you to spend time learning Numpy,,,group,yes,,
PsychoPy,https://github.com/psychopy/psychopy/issues/248,17,"Python, documentation","Github, git",science,"Spend 30-60 minutes reviewing provided example code, and see if you can improve it by following the style guide. Your work helps psychologists put experiments together!"," A large multi-person task, so pick whatever piece you want to work on.",,,group,yes,"For standardizing the way the progra quits, there are no instrunctions about what to do if the program quits automatically and does not require the user to press any key.",
Python,http://bugs.python.org/issue17135,18,"Python, documentation, rST","Roundup, hg",,"Change the docs for ""imp"" so it is more useful to users of the module",,,yes,group,yes,,
Python,http://bugs.python.org/issue17203,19,"Python, documentation, unittest","Roundup, hg",,yes,,,yes,group,yes,,
SymPy (Python library for symbolic mathematics),http://code.google.com/p/sympy/issues/detail?id=3640,20,"Python, algebra","Google Code, ??",,Fixed by mad at Harvard,,,yes,group,yes,,
Tahoe-LAFS,https://tahoe-lafs.org/trac/tahoe-lafs/ticket/1761,21,"Tahoe-LAFS basics, willingness to read about cryptography","Trac, ??",,"Get to know what a ""convergence secret"" is, and how it relates to the Tahoe filesystem, and submit a corresponding change to the documentation",,,yes,group,yes,,
Ushahidi / SwiftRiver,https://github.com/ushahidi/SwiftRiver/issues/334,22,PHP,"Github, git",,"Fix a typo in an email that the system sends out. In particular, it seems the message *body* says ""to to"" when it should say ""to"", and the message *subject* may contain the wrong person's name.",,,,group,yes,,
WordPress,http://core.trac.wordpress.org/ticket/16989,23,"PHP, MIME types, svn","Trac, svn",,"WordPress has a built-in way to list what media items are ""attached"" to which blog posts. The functionality, written in PHP, should be extended to be able to filter by file type, AKA MIME type.",Feature request; clearly useful; semi difficult,,,group,yes,,
WordPress,http://core.trac.wordpress.org/ticket/23200,24,CSS,"Trac, svn",,yes,Requires making a color decision that will likely be overridden by WP devs...,,yes,group,yes,,
WordPress,http://core.trac.wordpress.org/ticket/9207,25,"SSL on a server, PHP","Trac, svn",,Refresh (and improve comments on) a WordPress patch that already exists. The patch improves WordPress by letting it use just one redirect where it used to use two redirects.,"It ""just"" requires refreshing the patch",,yes,group,yes,,
Any project,https://openhatch.org/wiki/Answer_questions,26,Use software,,,"For any open source project, find the users and answer their questions!",,,,individual,yes,,
Any project,https://openhatch.org/wiki/Translate_software,27,Speak a non-English language,,,"For any open source project, make sure it works for a speaker of your non-English language.",,,,individual,yes,,
coursera-dl,https://github.com/dgorissen/coursera-dl/issues/34,28,Python,,,Take this command line Coursera course downloader and make it more useful,,,yes,group,yes,,
svg-edit,https://code.google.com/p/svg-edit/issues/detail?id=1065,29,Use software on the web,,,"Make sure you can reproduce this bug in Firefox on your platform. If so, say so on the ticket. Test it both on the official svg-edit demo site, and on a local install.",,,yes,individual,yes,,
svg-edit,https://code.google.com/p/svg-edit/issues/detail?id=1058,30,Javascript,,,"Reorganize how they bundle code to use ""requireJS"". (Difficult, but doable if you have JS experience!)","The bug report is really terse, it may be a challenge to figure out what the problem is.",,,group,yes,,
svg-edit,https://code.google.com/p/svg-edit/issues/detail?id=1045,31,Use software on the web,,,"Make sure you can reproduce this bug. If so, say so.",,,,individual,yes,,
